"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @OzzyTri: Dapet info dari temen saya posisi di bungbulang kab garut. Efek gempa yang terjadi tadi. Rumah rumah beberapa terkena dampak n…",FALSE,0,NA,2022-12-03 11:15:06,FALSE,NA,"1598999263106605056",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kalempongjawi2",1,TRUE,FALSE,NA,NA
"RT @ariemustari25: Gempa Bumi Garut terasa kencng di daerah Purwadadi-Ciamis
#garut 
#ciamis
#cianjur https://t.co/L2unrqoir0",FALSE,0,NA,2022-12-03 11:14:38,FALSE,NA,"1598999143850336257",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","txtdranakmama",343,TRUE,FALSE,NA,NA
"RT @ariemustari25: Gempa Bumi Garut terasa kencng di daerah Purwadadi-Ciamis
#garut 
#ciamis
#cianjur https://t.co/L2unrqoir0",FALSE,0,NA,2022-12-03 11:14:29,FALSE,NA,"1598999106525224961",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","alyafirly",343,TRUE,FALSE,NA,NA
"RT @republikaonline: Gempa dengan magnitudo (M) 6,4 terjadi di Kabupaten Garut, Jawa Barat, Sabtu (3/12/2022) pukul 16.49.41 WIB. Gempa ter…",FALSE,0,NA,2022-12-03 11:13:57,FALSE,NA,"1598998971007275008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Anang_ssanto",2,TRUE,FALSE,NA,NA
"Tetap Waspada Gempa Susulan Garut, Kekuatan 6,4 Bikin Warga Panik: #garut #gempabumi #mitigasibencana https://t.co/u43EdjwNsD",FALSE,1,NA,2022-12-03 11:13:55,FALSE,NA,"1598998964732579840",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","KoranTJVideo",0,FALSE,FALSE,NA,NA
"RT @ariemustari25: Gempa Bumi Garut terasa kencng di daerah Purwadadi-Ciamis
#garut 
#ciamis
#cianjur https://t.co/L2unrqoir0",FALSE,0,NA,2022-12-03 11:13:41,FALSE,NA,"1598998903256682496",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gr0pies",343,TRUE,FALSE,NA,NA
"RT @ariemustari25: Gempa Bumi Garut terasa kencng di daerah Purwadadi-Ciamis
#garut 
#ciamis
#cianjur https://t.co/L2unrqoir0",FALSE,0,NA,2022-12-03 11:13:29,FALSE,NA,"1598998853415735296",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Uee407",343,TRUE,FALSE,NA,NA
"RT @ariemustari25: Gempa Bumi Garut terasa kencng di daerah Purwadadi-Ciamis
#garut 
#ciamis
#cianjur https://t.co/L2unrqoir0",FALSE,0,NA,2022-12-03 11:13:26,FALSE,NA,"1598998841021599745",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AnricoVladimir",343,TRUE,FALSE,NA,NA
"Dapet info dari temen saya posisi di bungbulang kab garut. Efek gempa yang terjadi tadi. Rumah rumah beberapa terke… https://t.co/yp5SDdpa1q",FALSE,5,NA,2022-12-03 11:13:25,TRUE,NA,"1598998837196361728",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OzzyTri",1,FALSE,FALSE,NA,NA
"RT @ariemustari25: Gempa Bumi Garut terasa kencng di daerah Purwadadi-Ciamis
#garut 
#ciamis
#cianjur https://t.co/L2unrqoir0",FALSE,0,NA,2022-12-03 11:13:16,FALSE,NA,"1598998799766417409",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PPxid",343,TRUE,FALSE,NA,NA
